monthly model output at tide gate locations: minimum daily average temperature (degC)
tide gate, Site Number, 1, 6, 20, 21, 22, 23, 28, 45, 46, 47, 48, 52, 55, 56, 57, 60, 66, 67, 68, 69, 80, 81, 82, 89, 99, 102, 121,  
tide gate, latitute,   43.361969,   43.336575,   43.317558,   43.318266,   43.256241,   43.256198,   43.348444,   43.401679,   43.421973,   43.421516,   43.462284,   43.465925,   43.478133,   43.352551,   43.340415,   43.341434,   43.291393,   43.269430,   43.378620,   43.376278,   43.373049,   43.369828,   43.361124,   43.374342,   43.490525,   43.360938,   43.347512,  
tide gate, longitude, -124.174833, -124.157010, -124.158532, -124.158435, -124.215623, -124.215722, -124.167556, -124.191261, -124.188830, -124.192377, -124.194475, -124.190151, -124.183038, -124.223531, -124.226440, -124.225989, -124.241180, -124.227473, -124.103196, -124.110020, -124.144044, -124.147283, -124.157889, -124.084593, -124.220476, -124.076886, -124.220268,  
year, month, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27,  
2014, 1,   5.27,   4.03,   4.45,   4.45,   3.73,   3.78,   4.40,   4.48,   4.61,   5.22,   5.36,   4.71,   4.29,   4.35,   4.29,   4.40,   3.63,   3.65,   3.27,   3.23,   3.76,   3.84,   4.23,   2.78,   3.58,   2.42,   4.07,  
2014, 2,   5.01,   4.90,   4.46,   4.44,   5.13,   5.07,   4.90,   4.90,   4.86,   4.82,   4.66,   4.56,   5.06,   4.70,   4.59,   4.81,   3.87,   4.28,   4.89,   4.59,   4.78,   4.78,   4.85,   4.37,   5.02,   4.26,   4.58,  
2014, 3,   9.14,   8.97,   9.12,   9.18,   8.59,   8.52,   8.95,   8.52,   8.56,   8.38,   7.73,   9.00,   8.56,   9.00,   8.94,   9.09,   8.02,   8.52,   8.79,   8.91,   8.94,   9.02,   9.08,   8.91,   7.56,   8.81,   8.89,  
2014, 4,   9.53,  10.23,   9.43,   9.43,   8.93,   8.93,   9.60,   9.30,   9.37,   9.47,   9.51,   9.34,   8.74,   9.93,   9.77,   9.49,  10.95,  10.30,   8.92,   8.99,   9.09,   9.14,   9.26,   8.93,   8.57,   8.90,   9.83,  
2014, 5,  11.99,  13.31,  13.45,  13.48,  10.95,  10.77,  13.61,  12.32,  12.31,  12.47,  10.97,  13.58,  11.03,  14.18,  13.46,  13.07,  14.88,  14.66,  10.77,  11.13,  11.18,  11.39,  11.65,  11.04,  10.21,  10.82,  14.38,  
2014, 6,  16.56,  16.92,  15.81,  15.91,  15.51,  15.32,  16.94,  15.07,  14.65,  14.97,  12.72,  16.23,  15.39,  17.44,  15.77,  15.91,  18.26,  18.45,  17.14,  17.24,  17.34,  17.34,  17.09,  17.07,  12.51,  16.62,  17.06,  
