monthly model output at tide gate locations: minimum water level (m MSL)
tide gate, Site Number, 1, 6, 20, 21, 22, 23, 28, 45, 46, 47, 48, 52, 55, 56, 57, 60, 66, 67, 68, 69, 80, 81, 82, 89, 99, 102, 121,  
tide gate, latitute,   43.361969,   43.336575,   43.317558,   43.318266,   43.256241,   43.256198,   43.348444,   43.401679,   43.421973,   43.421516,   43.462284,   43.465925,   43.478133,   43.352551,   43.340415,   43.341434,   43.291393,   43.269430,   43.378620,   43.376278,   43.373049,   43.369828,   43.361124,   43.374342,   43.490525,   43.360938,   43.347512,  
tide gate, longitude, -124.174833, -124.157010, -124.158532, -124.158435, -124.215623, -124.215722, -124.167556, -124.191261, -124.188830, -124.192377, -124.194475, -124.190151, -124.183038, -124.223531, -124.226440, -124.225989, -124.241180, -124.227473, -124.103196, -124.110020, -124.144044, -124.147283, -124.157889, -124.084593, -124.220476, -124.076886, -124.220268,  
year, month, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27,  
2014, 1,  -0.69,  -1.63,  -1.65,  -1.66,  -2.33,  -2.33,  -1.62,  -1.28,  -0.93,  -0.08,   0.12,  -1.50,  -1.52,  -2.25,  -1.66,  -1.66,  -0.00,  -2.29,  -1.31,  -1.33,  -1.39,  -1.41,  -1.49,  -1.28,  -1.31,  -1.22,  -2.25,  
2014, 2,  -0.68,  -1.51,  -1.53,  -1.53,  -2.12,  -2.12,  -1.50,  -1.25,  -0.92,  -0.08,   0.12,  -1.43,  -1.44,  -1.97,  -1.66,  -1.65,   1.74,  -2.06,  -1.17,  -1.19,  -1.27,  -1.28,  -1.36,  -1.14,  -1.23,  -1.09,  -1.98,  
2014, 3,  -0.68,  -1.39,  -1.41,  -1.41,  -1.77,  -1.77,  -1.37,  -1.25,  -0.92,  -0.08,   0.12,  -1.37,  -1.38,  -1.59,  -1.63,  -1.63,   1.74,  -1.75,  -1.15,  -1.17,  -1.22,  -1.23,  -1.28,  -1.13,  -1.26,  -1.09,  -1.61,  
2014, 4,  -0.68,  -1.47,  -1.49,  -1.49,  -2.00,  -2.00,  -1.46,  -1.26,  -0.92,  -0.08,   0.12,  -1.42,  -1.44,  -1.85,  -1.66,  -1.65,   1.74,  -1.96,  -1.19,  -1.21,  -1.27,  -1.28,  -1.35,  -1.16,  -1.25,  -1.10,  -1.87,  
2014, 5,  -0.68,  -1.55,  -1.57,  -1.57,  -2.10,  -2.10,  -1.53,  -1.26,  -0.93,  -0.08,   0.12,  -1.47,  -1.50,  -1.97,  -1.66,  -1.66,   1.74,  -2.08,  -1.27,  -1.29,  -1.34,  -1.35,  -1.42,  -1.24,  -1.31,  -1.19,  -1.98,  
2014, 6,  -0.69,  -1.66,  -1.68,  -1.68,  -2.29,  -2.29,  -1.65,  -1.27,  -0.93,  -0.08,   0.12,  -1.51,  -1.53,  -2.20,  -1.66,  -1.66,   1.74,  -2.27,  -1.34,  -1.36,  -1.43,  -1.44,  -1.51,  -1.30,  -1.31,  -1.25,  -2.21,  
